"filename", "language", "C++", "C", "Markdown", "JSON", "comment", "blank", "total"
"d:\C_Learning_Code\JettyCoffee\C-Language Study\11-x\11-6 copy.c", "C", 0, 19, 0, 0, 0, 4, 23
"d:\C_Learning_Code\JettyCoffee\C-Language Study\11-x\11-6.c", "C", 0, 52, 0, 0, 0, 5, 57
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-1.c", "C", 0, 17, 0, 0, 0, 1, 18
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-10.c", "C", 0, 11, 0, 0, 0, 1, 12
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-11.c", "C", 0, 24, 0, 0, 0, 1, 25
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-2.c", "C", 0, 25, 0, 0, 0, 3, 28
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-3.c", "C", 0, 17, 0, 0, 0, 3, 20
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-4.c", "C", 0, 12, 0, 0, 0, 1, 13
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-5.c", "C", 0, 20, 0, 0, 0, 5, 25
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-6.c", "C", 0, 34, 0, 0, 0, 0, 34
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-7.c", "C", 0, 26, 0, 0, 0, 4, 30
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-8.c", "C", 0, 13, 0, 0, 0, 1, 14
"d:\C_Learning_Code\JettyCoffee\C-Language Study\4-x\4-9.c", "C", 0, 12, 0, 0, 24, 1, 37
"d:\C_Learning_Code\JettyCoffee\C-Language Study\5-x\5-1.c", "C", 0, 24, 0, 0, 0, 4, 28
"d:\C_Learning_Code\JettyCoffee\C-Language Study\5-x\5-2.c", "C", 0, 40, 0, 0, 0, 4, 44
"d:\C_Learning_Code\JettyCoffee\C-Language Study\5-x\5-3.c", "C", 0, 15, 0, 0, 0, 3, 18
"d:\C_Learning_Code\JettyCoffee\C-Language Study\5-x\5-4.c", "C", 0, 37, 0, 0, 0, 4, 41
"d:\C_Learning_Code\JettyCoffee\C-Language Study\5-x\5-5.c", "C", 0, 26, 0, 0, 0, 4, 30
"d:\C_Learning_Code\JettyCoffee\C-Language Study\5-x\5-6.c", "C", 0, 48, 0, 0, 0, 5, 53
"d:\C_Learning_Code\JettyCoffee\C-Language Study\5-x\5-7.c", "C", 0, 37, 0, 0, 0, 4, 41
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-1.c", "C", 0, 42, 0, 0, 0, 3, 45
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-2.c", "C", 0, 12, 0, 0, 0, 1, 13
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-3.c", "C", 0, 22, 0, 0, 0, 1, 23
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-4.c", "C", 0, 52, 0, 0, 0, 3, 55
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-5.c", "C", 0, 45, 0, 0, 0, 4, 49
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-6.c", "C", 0, 37, 0, 0, 0, 3, 40
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-7.c", "C", 0, 43, 0, 0, 0, 3, 46
"d:\C_Learning_Code\JettyCoffee\C-Language Study\6-x\6-8.c", "C", 0, 27, 0, 0, 0, 2, 29
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-1.c", "C", 0, 30, 0, 0, 0, 2, 32
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-2.c", "C", 0, 33, 0, 0, 3, 7, 43
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-3.c", "C", 0, 27, 0, 0, 0, 1, 28
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-4.c", "C", 0, 28, 0, 0, 0, 1, 29
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-5.c", "C", 0, 51, 0, 0, 0, 2, 53
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-6.c", "C", 0, 19, 0, 0, 0, 2, 21
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-7.c", "C", 0, 121, 0, 0, 0, 2, 123
"d:\C_Learning_Code\JettyCoffee\C-Language Study\7-x\7-8.c", "C", 0, 102, 0, 0, 0, 2, 104
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-1.c", "C", 0, 16, 0, 0, 0, 3, 19
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-10.c", "C", 0, 37, 0, 0, 0, 1, 38
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-11.c", "C", 0, 37, 0, 0, 0, 1, 38
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-2.c", "C", 0, 26, 0, 0, 0, 3, 29
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-3.c", "C", 0, 30, 0, 0, 0, 3, 33
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-4.c", "C", 0, 43, 0, 0, 0, 3, 46
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-5.c", "C", 0, 35, 0, 0, 0, 3, 38
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-6.c", "C", 0, 25, 0, 0, 0, 3, 28
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-7.c", "C", 0, 31, 0, 0, 0, 5, 36
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-8.c", "C", 0, 20, 0, 0, 0, 1, 21
"d:\C_Learning_Code\JettyCoffee\C-Language Study\8-x\8-9.c", "C", 0, 46, 0, 0, 0, 3, 49
"d:\C_Learning_Code\JettyCoffee\C-Language Study\9-x\9-1.c", "C", 0, 23, 0, 0, 0, 6, 29
"d:\C_Learning_Code\JettyCoffee\C-Language Study\9-x\9-2.c", "C", 0, 22, 0, 0, 0, 3, 25
"d:\C_Learning_Code\JettyCoffee\C-Language Study\9-x\9-3.c", "C", 0, 21, 0, 0, 0, 3, 24
"d:\C_Learning_Code\JettyCoffee\C-Language Study\9-x\9-4.c", "C", 0, 29, 0, 0, 0, 2, 31
"d:\C_Learning_Code\JettyCoffee\C-Language Study\9-x\9-5.c", "C", 0, 35, 0, 0, 0, 3, 38
"d:\C_Learning_Code\JettyCoffee\C-Language Study\9-x\9-6.c", "C", 0, 49, 0, 0, 0, 7, 56
"d:\C_Learning_Code\JettyCoffee\C-Language Study\Personnal-Solve\Description.c", "C", 0, 20, 0, 0, 0, 4, 24
"d:\C_Learning_Code\JettyCoffee\C-Language Study\Personnal-Solve\candy_divide.c", "C", 0, 51, 0, 0, 0, 2, 53
"d:\C_Learning_Code\JettyCoffee\C-Language Study\Personnal-Solve\test.c", "C", 0, 11, 0, 0, 2, 6, 19
"d:\C_Learning_Code\JettyCoffee\Data Construction\1.0\1-1.c", "C", 0, 43, 0, 0, 0, 14, 57
"d:\C_Learning_Code\JettyCoffee\Data Construction\1.0\1-2.c", "C", 0, 70, 0, 0, 8, 14, 92
"d:\C_Learning_Code\JettyCoffee\Data Construction\1.0\stack_standard.c", "C", 0, 36, 0, 0, 7, 14, 57
"d:\C_Learning_Code\JettyCoffee\Data Construction\2.0\2-1.c", "C", 0, 138, 0, 0, 6, 18, 162
"d:\C_Learning_Code\JettyCoffee\Data Construction\2.0\2-2.c", "C", 0, 113, 0, 0, 6, 6, 125
"d:\C_Learning_Code\JettyCoffee\Data Construction\3.0\3-1.c", "C", 0, 65, 0, 0, 5, 7, 77
"d:\C_Learning_Code\JettyCoffee\Dictionary.cpp", "C++", 69, 0, 0, 0, 21, 16, 106
"d:\C_Learning_Code\JettyCoffee\Examination Test of DaSE\1-2.c", "C", 0, 13, 0, 0, 39, 1, 53
"d:\C_Learning_Code\JettyCoffee\Examination Test of DaSE\1-3.c", "C", 0, 25, 0, 0, 20, 7, 52
"d:\C_Learning_Code\JettyCoffee\Examination Test of DaSE\1-4.c", "C", 0, 15, 0, 0, 9, 5, 29
"d:\C_Learning_Code\JettyCoffee\Examination Test of DaSE\1-5.c", "C", 0, 30, 0, 0, 9, 8, 47
"d:\C_Learning_Code\JettyCoffee\Examination Test of DaSE\1-6.c", "C", 0, 52, 0, 0, 9, 4, 65
"d:\C_Learning_Code\JettyCoffee\Learning.c", "C", 0, 50, 0, 0, 11, 14, 75
"d:\C_Learning_Code\JettyCoffee\README.md", "Markdown", 0, 0, 4, 0, 0, 1, 5
"d:\C_Learning_Code\JettyCoffee\Standard.c", "C", 0, 7, 0, 0, 0, 4, 11
"d:\C_Learning_Code\JettyCoffee\Untitled-1.c", "C", 0, 24, 0, 0, 0, 1, 25
"d:\C_Learning_Code\JettyCoffee\edit.c", "C", 0, 108, 0, 0, 8, 8, 124
"d:\C_Learning_Code\JettyCoffee\hanshuzhuanyong\GCD.c", "C", 0, 10, 0, 0, 0, 0, 10
"d:\C_Learning_Code\JettyCoffee\hanshuzhuanyong\LCM.c", "C", 0, 14, 0, 0, 0, 1, 15
"d:\C_Learning_Code\JettyCoffee\hanshuzhuanyong\dist.c", "C", 0, 15, 0, 0, 0, 3, 18
"d:\C_Learning_Code\JettyCoffee\hanshuzhuanyong\sign.c", "C", 0, 15, 0, 0, 0, 0, 15
"Total", "-", 69, 2585, 280, 2, 156, 332, 3424
