"filename", "language", "Markdown", "C", "comment", "blank", "total"
"d:\Code-of-JettyCoffee\Lang_C Study\Personnal-Solve\candy_divide.c", "C", 0, 51, 0, 2, 53
"d:\Code-of-JettyCoffee\Lang_C Study\Personnal-Solve\test.c", "C", 0, 11, 2, 6, 19
"d:\Code-of-JettyCoffee\README.md", "Markdown", 4, 0, 0, 1, 5
"d:\Code-of-JettyCoffee\Standard_Dictionary\Standard_Queue.c", "C", 0, 31, 5, 2, 38
"d:\Code-of-JettyCoffee\Standard_Dictionary\Standard_Stack.c", "C", 0, 32, 4, 6, 42
"d:\Code-of-JettyCoffee\Test of DaSE 1\1-2.c", "C", 0, 13, 39, 1, 53
"d:\Code-of-JettyCoffee\Test of DaSE 1\1-3.c", "C", 0, 25, 20, 7, 52
"d:\Code-of-JettyCoffee\Test of DaSE 1\1-4.c", "C", 0, 15, 9, 5, 29
"d:\Code-of-JettyCoffee\Test of DaSE 1\1-5.c", "C", 0, 30, 9, 8, 47
"d:\Code-of-JettyCoffee\Test of DaSE 1\1-6.c", "C", 0, 52, 9, 4, 65
"d:\Code-of-JettyCoffee\Test of DaSE 2\Genshin_Sushu.c", "C", 0, 42, 9, 2, 53
"d:\Code-of-JettyCoffee\Test of DaSE 2\question2.c", "C", 0, 32, 10, 6, 48
"d:\Code-of-JettyCoffee\Test of DaSE 2\question3.c", "C", 0, 43, 24, 5, 72
"d:\Code-of-JettyCoffee\Test of DaSE 2\question4.c", "C", 0, 25, 14, 2, 41
"d:\Code-of-JettyCoffee\Test of DaSE 2\question5.c", "C", 0, 50, 14, 5, 69
"Total", "-", 4, 3316, 345, 360, 4025
